location,bath,price,bhk,sqft
Sarjapur  Road,3,130.0,3,1826.0
8th Phase JP Nagar,2,39.33,2,1035.0
Kasavanhalli,3,92.0,3,1667.0
Thanisandra,2,55.0,2,934.0
JP Nagar,3,69.34,3,909.872467
Hosur Road,5,180.0,5,3600.0
Uttarahalli,2,60.0,3,1280.0
Other,3,90.0,3,1515.0
Thigalarapalya,4,150.0,3,1830.0
BTM Layout,2,51.5,2,935.0
Jakkur,3,136.0,3,2197.0
Jakkur,2,65.0,2,1125.0
Thubarahalli,2,79.0,2,1200.0
Seegehalli,2,27.0,2,920.0
Yelahanka,1,17.5,1,651.0
Chikkabanavar,1,25.0,2,600.0
Chandapura,1,16.45,1,645.0
Electronics City Phase 1,2,68.0,2,1190.0
KR Puram,1,65.0,2,1200.0
Yelahanka New Town,2,24.0,1,500.0
Bommasandra Industrial Area,3,50.0,3,1250.0
Ambalipura,4,329.0,4,3300.0
Rajaji Nagar,2,130.0,2,1357.0
Hosakerehalli,2,46.5,2,925.0
8th Phase JP Nagar,2,40.9,2,909.0
Brookefield,2,55.0,2,1100.0
Vidyaranyapura,2,54.0,2,1100.0
Subramanyapura,2,65.0,2,975.0
Raja Rajeshwari Nagar,2,44.17,2,1306.0
Other,4,95.0,4,1200.0
Kalena Agrahara,1,39.0,1,610.0
Ramamurthy Nagar,2,47.0,2,1125.0
Bhoganhalli,2,75.97,2,1447.0
Horamavu Banaswadi,2,51.5,2,1272.0
1st Phase JP Nagar,2,50.0,1,840.0
Hennur Road,4,180.0,4,2502.0
Rayasandra,1,26.9,1,583.0
Kanakapura,3,121.0,3,2200.0
Whitefield,1,51.0,1,750.0
Other,1,69.0,1,1200.0
Hormavu,2,35.0,2,1260.0
Hosakerehalli,4,260.0,3,2480.0
Vishwapriya Layout,3,38.0,3,1250.0
Kaggadasapura,3,75.0,3,1500.0
Banashankari Stage V,3,47.57,3,1510.0
7th Phase JP Nagar,2,59.0,2,1187.0
Kundalahalli,2,53.76,2,1120.0
Other,3,99.0,3,1717.0
Kasturi Nagar,2,58.0,2,1100.0
Other,1,48.0,1,1200.0
Other,4,600.0,5,4050.0
Haralur Road,2,90.0,3,1255.0
5th Phase JP Nagar,2,88.0,2,1220.0
Electronic City Phase II,2,30.88,2,1065.0
Bellandur,2,87.0,2,1281.0
Kaggadasapura,2,43.0,2,1215.0
Ananth Nagar,3,87.0,4,1200.0
Mysore Road,2,73.0,2,1237.0
Lakshminarayana Pura,2,70.0,2,1300.0
Banashankari,2,65.0,2,1186.0
Kengeri,2,35.5,2,750.0
Varthur,2,28.0,2,1083.0
Thanisandra,2,68.0,2,1056.0
Banashankari,3,101.0,3,1650.0
Rayasandra,2,54.0,2,1198.0
Other,2,70.0,2,1190.0
Other,4,185.0,4,2690.0
Kanakapura,2,65.0,2,1340.0
Giri Nagar,6,400.0,6,2400.0
Talaghattapura,3,153.0,3,2254.0
Other,5,250.0,4,1800.0
JP Nagar,2,45.0,2,820.0
Electronic City,2,65.0,2,1296.0
Uttarahalli,2,53.55,2,1190.0
Whitefield,2,77.0,2,1173.0
Sarjapura - Attibele Road,3,90.0,3,1800.0
Sarjapur,2,36.0,2,913.0
Billekahalli,3,225.0,3,2968.0
Hosur Road,2,106.0,2,1345.0
Other,3,99.0,3,1594.0
Haralur Road,2,60.0,2,1056.0
Whitefield,3,68.4,3,1200.0
Other,1,77.5,2,1290.0
Other,2,145.0,2,1464.0
Gollarapalya Hosahalli,2,36.5,2,861.0
Kundalahalli,2,82.62,2,1047.0
Other,2,75.0,2,1200.0
Rajaji Nagar,3,369.0,3,2300.0
Ramamurthy Nagar,2,62.0,2,1000.0
Lingadheeranahalli,3,113.0,3,1682.0
Harlur,3,131.0,3,1756.0
Vittasandra,2,67.32,2,1238.0
Dasanapura,2,42.0,2,814.0
Dodda Nekkundi,2,46.5,2,1145.0
Varthur,2,34.0,2,965.0
1st Phase JP Nagar,3,131.0,3,1590.0
Begur Road,1,40.0,1,644.0
Indira Nagar,2,100.0,2,1260.0
Rayasandra,3,75.17,3,1555.0
Other,4,450.0,4,2500.0
Kaggadasapura,2,48.0,2,1225.0
Rajaji Nagar,3,220.0,3,1640.0
Thanisandra,3,110.0,3,1595.0
Raja Rajeshwari Nagar,2,40.44,2,1196.0
Yelahanka,3,108.0,3,1859.0
9th Phase JP Nagar,2,60.0,2,1079.0
CV Raman Nagar,2,60.0,2,1198.0
Thigalarapalya,4,135.0,3,1830.0
Banashankari Stage VI,2,59.0,2,1160.0
Other,2,156.0,3,1485.0
Other,3,135.0,3,2070.0
Kannamangala,2,52.5,2,957.0
Basaveshwara Nagar,4,310.0,5,2400.0
Bannerghatta Road,2,69.0,2,1268.0
Bannerghatta Road,2,87.0,3,1450.0
Uttarahalli,2,57.0,3,1330.0
Horamavu Banaswadi,2,51.5,2,1272.0
Chikkalasandra,2,46.76,2,1075.0
Other,2,55.0,2,800.0
Vasanthapura,2,34.82,2,995.0
Haralur Road,2,42.0,2,1140.0
Other,2,125.0,3,1480.0
Talaghattapura,3,148.0,3,2106.0
Marathahalli,2,104.0,2,1602.0
Sarjapur  Road,2,116.0,3,1660.0
Electronic City Phase II,3,80.0,3,1549.0
Marathahalli,1,38.0,1,700.0
Balagere,2,64.0,2,1012.0
Marathahalli,3,89.0,3,1469.0
Whitefield,2,69.0,2,1216.0
Electronic City Phase II,2,56.13,2,1065.0
Thanisandra,3,93.15,3,1411.0
Pai Layout,2,57.5,2,1400.0
Haralur Road,2,62.0,2,1245.0
Choodasandra,2,50.0,2,1115.0
Vidyaranyapura,2,35.0,2,1000.0
Other,2,130.0,2,1500.0
Chandapura,1,16.45,1,645.0
Kasavanhalli,3,82.0,3,1494.0
Bhoganhalli,3,129.0,3,1949.0
BTM Layout,2,46.5,2,1020.0
Mysore Road,2,45.0,2,883.0
Old Airport Road,4,280.0,4,3200.0
Other,3,125.0,3,2010.0
Yeshwanthpur,2,80.0,2,1240.0
6th Phase JP Nagar,2,63.0,2,1213.0
Bannerghatta Road,5,195.0,4,2932.0
Whitefield,5,250.0,4,3425.0
Gottigere,2,45.0,2,945.0
Other,2,100.0,3,1504.0
Lakshminarayana Pura,3,150.0,3,1569.0
Harlur,3,130.0,3,1755.0
Vijayanagar,3,140.0,3,1760.0
Hoodi,2,43.94,2,1240.0
Electronics City Phase 1,3,72.54,3,1450.0
5th Phase JP Nagar,2,48.0,2,1000.0
Thyagaraja Nagar,4,145.0,5,2000.0
Choodasandra,2,59.0,2,1215.0
Raja Rajeshwari Nagar,2,75.0,2,1178.0
Hulimavu,4,192.0,4,1500.0
Other,2,165.0,3,1602.0
Other,4,130.0,4,1200.0
Parappana Agrahara,2,46.0,2,1194.0
Other,3,220.0,3,1800.0
Dasarahalli,2,152.0,3,2400.0
Sarjapur  Road,3,108.0,3,1700.0
Jigani,3,65.0,3,1200.0
Karuna Nagar,3,165.0,3,1240.0
Whitefield,3,400.0,3,3000.0
TC Palaya,2,55.0,2,900.0
CV Raman Nagar,2,85.0,2,1560.0
Kambipura,2,44.0,2,883.0
Kengeri Satellite Town,2,33.0,2,750.0
Hormavu,2,49.35,2,1030.0
7th Phase JP Nagar,3,155.0,3,1850.0
Hennur Road,3,110.0,3,1831.0
7th Phase JP Nagar,2,61.0,2,1000.0
Electronics City Phase 1,1,16.9,1,360.0
Kadugodi,1,40.7,1,925.0
Electronic City,2,70.93,2,1140.0
Other,3,120.0,3,1862.0
Devarachikkanahalli,2,43.0,2,947.0
Kalena Agrahara,2,40.0,2,1120.0
Other,3,200.0,3,2700.0
Basavangudi,2,93.0,2,1100.0
Bommenahalli,3,135.0,4,1355.0
Other,3,98.0,3,1677.0
Uttarahalli,3,74.0,3,1560.0
Arekere,3,150.0,3,2060.0
Harlur,3,140.0,3,1864.0
Electronics City Phase 1,1,32.0,1,638.0
Chandapura,2,30.0,2,937.0
Other,2,115.0,3,1490.0
Thigalarapalya,2,48.53,2,1000.0
Horamavu Agara,2,37.0,2,1060.0
Kundalahalli,2,91.0,2,1047.0
Basaveshwara Nagar,2,80.0,2,1200.0
Akshaya Nagar,2,75.0,3,1420.0
Sarjapur  Road,3,85.0,3,1539.0
Seegehalli,3,68.0,3,1553.0
Electronic City Phase II,2,26.0,2,920.0
Other,3,120.0,3,1740.0
OMBR Layout,3,145.0,3,1855.0
Kundalahalli,3,146.0,3,1724.0
Other,2,60.0,2,1020.0
Thubarahalli,2,80.0,2,1200.0
Haralur Road,2,58.0,2,1140.0
Other,1,16.0,1,550.0
Sarjapur  Road,2,82.0,3,1489.0
Haralur Road,2,42.0,2,1140.0
Lingadheeranahalli,3,114.0,3,1682.0
Panathur,2,86.26,2,1198.0
Kodichikkanahalli,2,45.0,2,1026.0
Other,2,42.0,2,690.0
Sarjapur  Road,1,45.0,1,539.0
Attibele,3,120.0,3,2400.0
Thubarahalli,2,79.55,2,1200.0
Kundalahalli,5,350.0,4,2500.0
Other,5,233.0,4,1500.0
Gottigere,4,100.0,5,1500.0
Brookefield,2,66.5,2,1225.0
Bommanahalli,2,72.0,2,1350.0
Other,3,111.0,3,1520.0
Whitefield,4,550.0,4,4100.0
Other,4,86.0,4,1200.0
Other,6,500.0,5,2500.0
Yelahanka,2,80.0,2,1322.0
Whitefield,3,128.0,3,2173.0
Sarjapur  Road,2,75.0,2,1200.0
Thubarahalli,2,47.0,2,1200.0
Mysore Road,2,65.0,2,1170.0
NRI Layout,2,45.56,2,1125.0
Devanahalli,1,28.57,1,698.5
Other,2,90.0,2,1250.0
Chandapura,2,27.68,2,1025.0
Other,2,190.0,3,1900.0
Electronics City Phase 1,2,64.98,2,1175.0
Electronics City Phase 1,1,21.0,1,585.0
Jigani,5,230.0,4,3170.0
Other,2,170.0,3,1602.0
Rajaji Nagar,3,350.0,3,2500.0
Sarjapur  Road,3,180.0,3,2145.0
Bannerghatta Road,2,58.0,2,960.0
NGR Layout,1,38.0,1,907.0
Old Madras Road,2,74.0,2,1210.0
5th Phase JP Nagar,2,75.0,3,1350.0
Kenchenahalli,2,58.0,2,1150.0
Sarjapur,2,53.35,3,1404.0
OMBR Layout,2,48.0,2,1050.0
Hormavu,2,50.8,2,1018.0
Hoskote,3,57.0,3,1200.0
Other,3,95.0,3,1600.0
9th Phase JP Nagar,2,80.0,2,1480.0
Kaval Byrasandra,1,25.0,1,480.0
Other,1,60.0,1,450.0
Other,2,23.0,1,600.0
CV Raman Nagar,2,85.0,3,1590.0
Nagavara,2,40.2,2,936.0
Banashankari,2,75.0,2,1181.0
Kengeri,3,80.0,3,1741.0
JP Nagar,3,123.0,3,1750.0
Varthur Road,2,42.7,2,1050.0
Tumkur Road,2,60.0,2,1027.0
Sahakara Nagar,2,60.0,2,1000.0
Varthur,2,44.24,2,1120.0
Other,2,85.0,2,1200.0
Kasturi Nagar,3,110.0,3,1570.0
Frazer Town,2,140.0,2,1315.0
Electronic City Phase II,2,33.84,2,1140.0
Banashankari,2,90.0,2,1105.0
Whitefield,1,62.0,1,905.0
HSR Layout,4,350.0,4,2400.0
Kudlu Gate,2,50.0,2,1185.0
Koramangala,2,100.0,2,1083.0
Rayasandra,3,60.0,3,1458.0
Hormavu,3,75.0,3,1555.0
Kudlu,2,44.0,2,1024.0
Parappana Agrahara,2,47.0,2,1194.0
Kanakapura,3,75.0,3,1450.0
Seegehalli,3,120.0,3,1639.0
Whitefield,3,138.0,3,1870.0
Hennur Road,2,87.0,2,1232.0
Kasavanhalli,3,184.0,3,1719.0
Other,4,130.0,3,2000.0
Jakkur,2,79.0,2,1230.0
Other,4,140.0,4,1350.0
KR Puram,2,67.0,2,1076.0
Kumaraswami Layout,7,125.0,7,2400.0
Kodigehaali,3,177.0,3,2120.0
Other,7,460.0,6,2400.0
Horamavu Agara,2,41.51,2,1107.83
Chamrajpet,1,85.0,1,505.0
Sarjapur  Road,2,115.0,2,1320.0
8th Phase JP Nagar,3,72.02,3,1431.5
Whitefield,2,99.26,2,1320.0
Whitefield,4,190.0,3,2901.0
GM Palaya,2,65.0,3,1315.0
Bannerghatta Road,3,130.0,3,1750.0
Whitefield,4,270.0,4,2403.0
Old Madras Road,4,341.0,4,4062.5
Other,2,79.0,2,1175.0
Talaghattapura,2,29.47,2,921.0
Sultan Palaya,3,125.0,3,1713.0
8th Phase JP Nagar,4,90.0,3,1900.0
Binny Pete,3,139.0,3,1795.0
Kereguddadahalli,1,19.5,1,600.0
Hoodi,2,65.0,2,1240.0
Hegde Nagar,4,132.0,3,1965.0
Sarjapur,4,370.0,4,4111.0
Other,2,68.0,2,1112.0
Mahadevpura,2,64.5,2,1136.0
Jigani,2,55.0,2,914.0
Yelahanka,2,43.0,2,845.0
Whitefield,2,96.51,2,1485.0
Singasandra,2,58.0,2,1375.0
Uttarahalli,2,48.0,2,1125.0
Banashankari,1,60.0,1,720.0
7th Phase JP Nagar,2,100.0,3,1460.0
Other,2,75.0,2,1158.0
Yelachenahalli,1,30.0,2,800.0
Bhoganhalli,3,128.0,3,1760.0
Frazer Town,3,154.0,3,1706.0
BTM Layout,3,112.0,3,1600.0
Other,2,90.0,2,1200.0
Whitefield,3,101.0,3,1755.0
Hulimavu,2,50.0,2,1200.0
BEML Layout,2,67.0,2,1200.0
2nd Phase Judicial Layout,3,64.0,3,1300.0
Whitefield,5,550.0,4,4800.0
Mysore Road,2,50.855,2,1029.5
Raja Rajeshwari Nagar,2,40.0,2,1128.0
Other,2,160.0,2,2000.0
Panathur,2,80.0,2,1210.0
Raja Rajeshwari Nagar,2,39.0,2,1151.0
HRBR Layout,3,180.0,4,1200.0
Munnekollal,3,86.5,3,1750.0
Dasanapura,2,65.0,2,1163.0
7th Phase JP Nagar,3,110.0,3,1650.0
CV Raman Nagar,2,58.0,2,1100.0
R.T. Nagar,2,60.0,2,1200.0
Begur Road,3,98.0,3,1933.0
Begur Road,2,45.6,2,1200.0
Other,5,280.0,4,2679.0
Horamavu Banaswadi,2,46.9,2,1156.0
Other,2,75.0,2,1230.0
Kasavanhalli,1,43.82,1,770.0
Ardendale,3,105.0,3,1777.26
Kanakpura Road,2,85.0,2,1339.0
Sarjapur  Road,3,183.0,3,3044.0
Kothanur,2,53.0,2,1075.0
Sarjapur  Road,2,62.0,3,1163.0
TC Palaya,2,65.0,2,1200.0
Marathahalli,4,325.0,4,3090.0
Hebbal,2,100.0,2,1299.0
HRBR Layout,2,75.0,2,1170.0
JP Nagar,3,152.0,3,2195.0
Yelahanka,4,175.0,4,2600.0
KR Puram,2,43.32,2,1140.0
Kanakpura Road,3,125.0,3,1900.0
Bommasandra Industrial Area,2,31.48,2,1090.0
Nagavarapalya,1,57.0,1,705.0
HBR Layout,2,60.0,2,1089.0
Kereguddadahalli,2,32.0,2,1080.0
Thanisandra,2,68.1,2,1093.0
Banashankari Stage III,3,75.48,3,1480.0
Hegde Nagar,3,125.0,3,1703.0
Hebbal,2,60.0,2,1200.0
Marathahalli,3,116.0,3,1690.0
Yelahanka,2,78.0,2,1305.0
Anekal,4,99.0,3,1500.0
Horamavu Agara,2,38.19,2,980.0
Hosakerehalli,2,100.0,3,1200.0
Whitefield,3,149.0,3,2225.0
Narayanapura,2,45.0,2,1153.0
Pai Layout,2,60.0,2,1175.0
Yelahanka New Town,1,17.0,1,650.0
Billekahalli,3,55.0,2,1350.0
Other,2,76.0,2,1200.0
Chandapura,2,25.0,2,800.0
Electronic City,4,104.0,4,2093.0
Uttarahalli,2,55.44,3,1320.0
Bannerghatta Road,2,73.0,2,1275.0
Begur Road,2,43.13,2,1215.0
Kanakapura,2,45.2,2,1130.0
Begur Road,2,71.5,3,1444.0
Padmanabhanagar,1,90.0,2,1000.0
Banashankari Stage II,2,59.52,3,1240.0
Hennur,2,50.0,2,1231.0
Benson Town,2,120.0,2,1300.0
Yeshwanthpur,3,110.0,3,1713.0
Kogilu,2,53.33,2,1200.0
Sarjapur  Road,4,158.0,3,3004.0
Jalahalli,2,49.5,2,790.0
Koramangala,3,200.0,3,1744.0
Other,3,100.0,3,1605.0
Whitefield,2,82.0,2,1250.0
Malleshwaram,3,337.0,3,2476.0
Subramanyapura,2,76.0,3,1260.0
Electronic City,2,53.9,2,1025.0
Sarjapur  Road,4,150.0,3,1877.0
Lakshminarayana Pura,3,150.0,3,1649.0
Hennur,5,125.0,5,2500.0
Other,3,98.0,3,1542.0
Thigalarapalya,2,105.0,2,1418.0
Chandapura,2,65.0,2,1200.0
Green Glen Layout,4,95.0,3,1680.0
Old Madras Road,2,72.0,2,1171.0
Tumkur Road,2,68.62,2,1027.0
Shampura,3,75.0,3,1700.0
Kanakapura,2,38.15,2,1090.0
Hennur Road,2,74.0,2,1232.0
Anekal,2,28.0,2,766.0
Kanakpura Road,1,27.0,1,525.0
Hosa Road,3,109.0,3,1535.0397790000002
Choodasandra,2,65.0,3,1254.0
Kanakpura Road,3,118.0,3,1593.0
Other,3,110.0,3,1100.0
Ardendale,3,82.0,3,1650.0
Electronic City,2,54.0,2,940.0
Electronic City,1,21.0,1,435.0
Begur Road,2,36.54,2,1160.0
Electronic City,2,77.5,3,1500.0
Other,2,70.0,2,1050.0
Haralur Road,2,43.0,2,1027.0
Seegehalli,4,235.0,3,3000.0
Tumkur Road,2,95.0,3,1459.0
Yelahanka,3,85.61,3,1711.0
Hoodi,2,98.0,2,1250.0
Chandapura,1,16.45,1,645.0
Anandapura,2,57.0,2,875.0
Ramamurthy Nagar,2,67.0,2,1334.0
Thigalarapalya,4,160.0,3,2072.0
Kundalahalli,3,170.0,3,1600.0
Kengeri Satellite Town,2,39.0,2,920.0
Chandapura,2,25.29,2,778.0
Nagasandra,3,95.0,4,1310.0
Electronic City,3,80.0,3,1631.0
Kanakpura Road,1,27.5,1,525.0
Hennur Road,2,66.0,2,1232.0
Gubbalala,2,70.0,2,1205.0
Other,4,165.0,4,1200.0
Rajiv Nagar,5,129.0,4,2340.0
Rayasandra,2,55.0,3,1179.0
Kodigehaali,2,51.0,2,1013.0
Uttarahalli,2,40.6,2,1160.0
7th Phase JP Nagar,2,62.5,2,1200.0
Other,2,145.0,3,1100.0
Other,3,99.0,3,1200.0
Marathahalli,2,55.0,2,1065.0
Lakshminarayana Pura,2,75.0,2,1395.0
Hebbal Kempapura,2,165.0,3,1725.0
Hebbal,3,117.0,3,1645.0
Kengeri,2,58.0,2,1200.0
Mysore Road,2,43.61,2,940.0
KR Puram,6,175.0,6,4300.0
Indira Nagar,3,191.0,3,1740.0
Haralur Road,2,47.0,2,1194.0
Dodda Nekkundi,3,125.0,3,1829.0
Whitefield,4,178.0,4,1800.0
Other,2,60.0,2,1000.0
Hebbal,2,95.0,2,1390.0
Lakshminarayana Pura,3,104.0,3,1500.0
Jakkur,2,79.0,2,1202.0
Whitefield,1,40.0,1,605.0
Harlur,2,88.0,2,1331.0
Margondanahalli,2,69.0,2,1200.0
Sahakara Nagar,2,136.0,2,1200.0
Other,2,300.0,2,1800.0
TC Palaya,2,75.0,2,1500.0
Attibele,1,12.5,1,450.0
Other,4,140.0,4,1200.0
Hennur Road,2,95.0,2,1341.0
2nd Phase Judicial Layout,2,47.25,3,1350.0
Tumkur Road,2,60.0,2,992.0
Uttarahalli,2,68.0,2,1163.0
Sarjapur  Road,2,70.0,2,1229.0
Other,2,39.0,2,600.0
Electronic City Phase II,2,61.26,2,1219.0
Raja Rajeshwari Nagar,2,99.13,3,1525.0
Kasavanhalli,2,60.0,2,1147.0
Akshaya Nagar,2,88.0,3,1412.0
Nagarbhavi,2,63.0,2,1190.0
Other,3,111.0,3,1700.0
Electronic City,2,67.0,2,1355.0
Ramamurthy Nagar,2,46.0,2,1200.0
Kengeri,2,25.0,1,400.0
Sarjapur  Road,2,70.0,2,1342.0
Yeshwanthpur,1,55.0,1,400.0
Hennur Road,3,150.0,3,2700.0
Other,3,110.0,3,1780.0
Kammanahalli,2,80.0,2,1200.0
Margondanahalli,2,49.0,2,900.0
Sarjapur,3,88.0,3,1830.0
Uttarahalli,2,42.59,2,1065.0
Other,3,149.0,3,1080.0
Other,2,65.0,3,900.0
Sarjapur  Road,3,110.0,3,1711.0
Other,3,160.0,4,1200.0
Chandapura,2,25.65,2,950.0
Uttarahalli,2,46.76,2,1075.0
Harlur,3,133.0,3,1752.12
Hebbal,8,220.0,8,6000.0
LB Shastri Nagar,1,32.0,1,665.0
Sector 2 HSR Layout,3,110.0,3,1665.0
Other,3,190.0,3,1200.0
Marathahalli,3,125.0,3,1693.0
Other,3,220.0,3,2456.0
Rajaji Nagar,3,403.0,3,2559.0
Uttarahalli,2,40.6,2,1155.0
Other,2,185.0,2,1530.0
Brookefield,8,290.0,8,2700.0
Other,1,150.0,1,840.0
KR Puram,2,42.0,2,1200.0
Kasavanhalli,2,72.0,2,1375.0
BTM 2nd Stage,5,416.0,5,2990.0
Yelahanka,2,75.0,2,1315.0
Dommasandra,2,40.0,2,1500.0
Yelahanka,6,200.0,6,3600.0
Vijayanagar,2,82.0,2,1178.0
Thanisandra,2,72.0,2,1093.0
Horamavu Banaswadi,2,45.0,2,1200.0
Magadi Road,6,360.0,5,5000.0
1st Block Jayanagar,2,130.0,3,1200.0
Whitefield,3,156.0,3,2210.0
Uttarahalli,2,70.0,2,1150.0
Whitefield,2,78.2,2,1173.0
Other,3,120.0,3,1717.0
Mallasandra,2,65.0,2,1325.0
Electronics City Phase 1,2,90.0,2,1025.0
Bellandur,2,52.0,2,1200.0
Whitefield,4,130.0,3,1740.0
Hennur Road,2,88.0,2,1232.0
Chandapura,2,36.0,2,1200.0
Other,2,171.0,2,1475.0
5th Phase JP Nagar,1,23.5,1,552.0
Hennur,3,130.0,3,1000.0
Other,1,16.0,1,650.0
Padmanabhanagar,2,52.0,2,1067.0
Sarjapur,2,56.0,3,1364.0
Bannerghatta Road,2,71.0,2,1240.0
Hulimavu,2,75.0,2,1200.0
Kaggadasapura,3,75.0,3,1540.0
Other,2,102.0,3,1504.0
Hennur Road,4,175.0,3,2365.0
Sarjapura - Attibele Road,2,37.0,2,1308.0
Vijayanagar,2,45.0,2,864.0
Hoskote,2,38.0,3,1069.0
Hebbal,2,100.0,2,1333.0
Other,4,145.0,4,1800.0
Thanisandra,3,107.0,3,1698.0
Raja Rajeshwari Nagar,2,48.0,2,1060.0
Hennur,2,49.0,2,1160.0
Hennur Road,2,66.0,2,1310.0
Other,4,240.0,4,3000.0
Varthur,3,165.0,3,2145.0
Marathahalli,3,125.0,3,1693.0
Devanahalli,3,145.0,3,1200.0
Munnekollal,2,66.5,3,1385.0
Tumkur Road,2,52.5,2,1066.0
Other,3,92.0,3,1625.0
Vittasandra,2,67.4,2,1246.0
Other,4,250.0,4,2400.0
Raja Rajeshwari Nagar,6,195.0,6,3900.0
7th Phase JP Nagar,2,70.65,2,1000.0
Nagavarapalya,2,38.0,2,907.0
Varthur,2,79.0,3,1395.0
Banaswadi,6,140.0,5,1903.0
Other,2,92.0,3,1490.0
Hormavu,2,53.0,2,1143.0
Karuna Nagar,3,190.0,3,2500.0
Whitefield,2,75.0,2,1216.0
Prithvi Layout,3,93.0,2,1352.0
Bellandur,3,120.0,3,1785.0
Pai Layout,2,34.5,2,810.0
Banashankari Stage V,3,51.98,3,1650.0
Babusapalaya,2,65.0,3,1410.0
Kanakpura Road,3,122.0,3,1591.0
Yelahanka New Town,1,16.0,1,450.0
Kaggadasapura,2,45.0,2,1240.0
Dodda Nekkundi,2,41.16,2,1100.0
Koramangala,2,128.0,2,1180.0
Bisuvanahalli,2,33.0,2,845.0
Other,2,190.0,3,1567.2
8th Phase JP Nagar,4,140.0,4,1200.0
Kambipura,2,37.0,2,883.0
Yelahanka,2,70.21,2,1390.0
Hulimavu,2,46.0,2,1188.0
Kenchenahalli,2,69.0,3,1280.0
Yelahanka,3,95.0,3,1614.0
Kasturi Nagar,2,58.0,2,1000.0
Marathahalli,2,57.9,2,1196.0
Ambalipura,2,31.95,2,950.0
5th Phase JP Nagar,2,51.0,2,1200.0
Doddathoguru,2,32.0,2,855.0
Chandapura,1,16.45,1,645.0
Chandapura,2,36.0,2,922.0
7th Phase JP Nagar,2,42.0,2,1070.0
Nehru Nagar,2,41.1,2,967.0
Other,2,65.5,2,860.0
Yelahanka,1,19.5,1,1075.0
Sarjapur  Road,2,63.5,2,1050.0
Sarjapur  Road,2,102.0,2,1350.0
Hebbal,2,45.0,2,1204.0
Sarjapur  Road,4,240.0,4,2990.0
ITPL,2,29.95,2,1000.0
Sarjapur  Road,3,85.0,3,1457.0
Haralur Road,2,47.0,2,1194.0
Bannerghatta,2,66.0,2,1100.0
Whitefield,3,120.0,3,1655.0
Kanakpura Road,3,115.0,3,1691.2
Ramagondanahalli,2,46.1,2,1215.0
Hoodi,3,129.0,3,1639.0
Sarjapur  Road,3,135.0,3,1685.0
Hormavu,2,38.0,2,1100.0
Marathahalli,3,125.0,3,2122.0
Vasanthapura,2,47.0,2,1050.0
Electronic City Phase II,2,65.0,3,1252.0
Other,2,88.0,3,1374.0
8th Phase JP Nagar,1,30.0,1,500.0
Hebbal,3,83.87,3,1355.0
Banashankari,2,45.0,2,1040.0
Sarjapur  Road,2,68.0,2,1350.0
Hennur,3,135.0,3,2400.0
Haralur Road,3,90.0,3,1560.0
Anandapura,2,43.16,2,1151.0
Hennur Road,2,50.0,2,1015.0
Kadugodi,2,78.0,3,1351.0
Yelahanka New Town,2,50.0,2,960.0
Arekere,3,180.0,3,2400.0
Horamavu Banaswadi,2,47.0,2,1254.0
Haralur Road,3,115.0,3,1255.0
CV Raman Nagar,2,61.0,2,1051.0
Other,3,205.0,3,1200.0
Uttarahalli,2,65.0,2,1099.0
Hebbal,4,199.0,3,2650.0
Other,2,160.0,4,2000.0
Yeshwanthpur,2,130.0,2,1541.0
Sarjapur  Road,3,70.0,3,1200.0
Other,1,62.0,1,834.0
Gollarapalya Hosahalli,3,60.0,3,1320.0
Malleshpalya,3,149.0,3,1200.0
Whitefield,5,500.0,4,4400.0
Other,1,52.0,1,600.0
Whitefield,2,70.0,2,1180.0
Kadugodi,2,50.0,2,1010.0
Channasandra,2,38.0,2,1070.0
Choodasandra,3,105.0,3,1580.0
Green Glen Layout,3,165.0,3,2000.0
Iblur Village,3,130.0,3,1920.0
Kalena Agrahara,2,45.0,2,1040.0
Hulimavu,2,90.0,3,1430.0
Uttarahalli,2,52.85,3,1215.0
Domlur,1,70.0,1,650.0
Thanisandra,3,105.0,3,1564.0
Hormavu,2,58.0,2,750.0
Kasavanhalli,2,60.0,2,1200.0
Raja Rajeshwari Nagar,2,48.79,2,1128.0
Begur Road,2,44.4,2,1200.0
Other,3,260.0,3,2750.0
Other,4,480.0,4,2400.0
Yelahanka,3,105.0,3,1650.0
1st Block Jayanagar,2,148.0,2,1235.0
Kengeri Satellite Town,2,42.0,2,985.0
Gottigere,3,120.0,4,2500.0
GM Palaya,2,60.0,2,1030.0
Sarjapur  Road,3,325.0,4,3800.0
Kasavanhalli,4,333.0,4,4260.0
Brookefield,6,175.0,5,1950.0
Kanakapura,2,68.0,2,1283.0
HAL 2nd Stage,3,500.0,3,2700.0
Konanakunte,2,180.0,3,2400.0
Kathriguppe,2,68.75,3,1250.0
Panathur,2,85.0,2,1199.0
Other,2,90.0,2,1280.0
1st Block Jayanagar,4,413.0,4,2750.0
Yelachenahalli,2,60.0,2,1100.0
Other,3,175.0,3,2075.0
Harlur,2,55.0,2,1133.0
Somasundara Palya,3,140.0,4,2400.0
Horamavu Agara,3,65.0,3,1250.0
Munnekollal,2,45.0,2,1080.0
Battarahalli,1,47.0,1,600.0
Other,4,180.0,3,1240.0
Vittasandra,2,67.3,2,1246.0
JP Nagar,3,237.5,3,3496.5
HSR Layout,2,46.0,2,1140.0
Vidyaranyapura,2,70.0,2,1120.0
Electronic City,1,22.0,1,435.0
